Class Name;DefaultDisplayName;DefaultCategory;Behaviors;DisplayOrder;IconBlockOffset;IconViewOffset;DefaultIconViewScale;FirstPersonScale;FirstPersonOffset;FirstPersonRotation;InHandScale;InHandOffset;InHandRotation;CraftingId;DefaultCreativeData;IsCollidable;IsPlaceable;IsDiggingTransparent;IsPlacementTransparent;IsInteractive;IsEditable;IsGatherable;HasCollisionBehavior;KillsWhenStuck;IsFluidBlocker;IsTransparent;ShadowStrength;LightAttenuation;EmittedLightAmount;ObjectShadowStrength;DefaultDropContent;DefaultDropCount;RequiredToolLevel;MaxStacking;MaxInHandStacking;SleepSuitability;FrictionFactor;Density;NoAutoJump;NoSmoothRise;FuelHeatLevel;FuelFireDuration;SoundMaterialName;DiggingSoundsFolder;DiggingSoundsVolume;DestructionSoundsVolume;ShovelPower;QuarryPower;HackPower;DefaultMeleePower;DefaultMeleeHitProbability;DefaultProjectilePower;ToolLevel;Durability;IsAimable;IsStickable;AlignToVelocity;ProjectileSpeed;ProjectileDamping;ProjectileTipOffset;DisintegratesOnHit;ProjectileStickProbability;FireDuration;ExplosionResilience;DefaultExplosionPressure;IsExplosionTransparent;DigMethod;DigResilience;ProjectileResilience;DefaultNutritionalValue;FoodType;DefaultTextureSlot;DestructionDebrisScale;DefaultDescription
ClayBlock;粘土;地形;;12;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;clay;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0.9;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Dirt;Audio\Impacts\Dirt;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;1;0;25;;FALSE;Shovel;3;1;0;;8;1;粘土是一种由很细的泥土组成的、重且密度高的方块，常见于浅水湖底。自远古时期，人类便掌握了烧结粘土成砖的技术，并广泛应用于建筑中。
SandBlock;沙子;地形;;13;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sand;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0.9;#;1;0;40;40;0.5;1;3;FALSE;FALSE;0;0;Sand;Audio\Impacts\Dirt;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.5;0;25;;FALSE;Shovel;1.5;1;0;;18;1;沙子是一种松散的黄色方块，覆盖了沙漠区域和海滩，常被用于制作玻璃。下方支撑的方块被挖开后会塌落，所以开采时应多加小心。仙人掌多生长于干燥炎热地区的沙子上。
GrassBlock;草地;地形;;14;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#DirtBlock;1;0;40;40;1;1;3;FALSE;FALSE;0;0;Dirt;Audio\Impacts\Dirt;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.75;0;25;;FALSE;Shovel;2;1;0;;;1;阳光充足时，土地方块上回长出草来。条件合适时，多种花草以及蔬菜会从草地中长出来。如果你在草地上放上重物，草地会被破坏，而恢复需要很长时间。
WaterBlock;水;地形;;15;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;-1;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;1;3;0;0;;1;0;40;40;0;1;1;FALSE;FALSE;0;0;;;;;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;;;1;0;;189;1;水是流体，所以它会四处流动，并聚集在地势低洼处。桶可以从水源处收集水，并运输到缺水的地方放。在较低温度下，水会凝结为冰。
MagmaBlock;岩浆;地形;;16;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;-1;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;0;1;13;0;;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Sand;;;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;;;1;0;;141;1;岩浆存在于熔岩池中的熔融岩石，位于地下深处的玄武岩岩层。岩浆有着极高的温度，会瞬间点着它接触到的一切可燃物体。任何不小心跌入岩浆的生物都会被很快杀死。桶可以将岩浆从其源头运走。
SnowBlock;雪;地形;;17;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;snow;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;2;0;0;0.8;;0;1;40;40;0;1;0.5;FALSE;FALSE;0;0;Snow;Audio\Impacts\Dirt;0.3;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;2;;TRUE;Shovel;1;1;0;;66;1;一种凝固状态的水，在寒冷的区域常常覆盖着地表。在降水天气中，它会以降雪的形式从空中落下，覆盖住暴露在外的地面。
IceBlock;冰;地形;;18;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;ice;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;2;0;0.9;#WaterBlock;1;0;40;40;0;0.1;0.5;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;25;;FALSE;Quarry;3;1;0;;65;1;固态的水方块。在较低温度下，水会结成冰。在存在热源的条件下，冰可以融化成水。热源可以是火或岩浆。在冰上行走较困难，因为冰的表面很滑。
FireBlock;火;地形;;19;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;fire;-1;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;0;1;15;1;;1;0;40;40;0;1;0;FALSE;FALSE;0;0;;;;;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;0;;TRUE;;;1;0;;123;1;
CoalOreBlock;煤矿石;地形;;20;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;coalore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#CoalChunkBlock;3;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;10;1;0;;34;1;煤矿石是煤嵌入花岗岩而形成的混合物。开采后得到煤。值得注意的是，有些种类的矿石需要特殊的工具才能开采，否则其中的矿物会被破坏。
CopperOreBlock;铜矿石;地形;;21;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;copperore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#MalachiteChunkBlock;3;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;10;1;0;;32;1;铜矿石是铜嵌入花岗岩而形成的混合物。开采后得到孔雀石。值得注意的是，有些种类的矿石需要特殊的工具才能开采，否则其中的矿物会被破坏。
IronOreBlock;铁矿石;地形;;22;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;ironore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;15;1;0;;33;1;铁矿石是铁嵌入玄武岩而形成的混合物。开采后的到铁矿石方块。值得注意的是，有些种类的矿石需要特殊的工具才能开采，否则其中的矿物会被破坏。要从中冶炼纯铁，还需要在熔炉中进一步处理。
SulphurOreBlock;硫矿石;地形;;23;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sulphurore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#SulphurChunkBlock;3;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;15;1;0;;36;1;硫矿石是硫元素嵌入玄武岩而形成的混合物。开采后得到硫磺。值得注意的是，有些种类的矿石需要特殊的工具才能开采，否则其中的矿物会被破坏。硫磺可以用于制造爆炸性的物质，例如火药和火柴。
SaltpeterOreBlock;硝石矿石;地形;;24;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;saltpeterore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#SaltpeterChunkBlock;2;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;8;1;0;;35;1;硝石矿石是硝酸钾嵌入砂岩而形成的混合物。开采后得到硝石。值得注意的是，有些种类的矿石需要特殊的工具才能开采，否则其中的矿物会被破坏。硝石可以用于制造爆炸物。
DiamondOreBlock;钻石矿石;地形;;25;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;diamondore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#DiamondChunkBlock;2;3;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;15;1;0;;48;1;钻石矿石是金刚石晶体嵌入玄武岩而形成的混合物。开采后得到钻石。值得注意的是，有些种类的矿石需要特殊的工具才能开采，否则其中的矿物会被破坏。
GermaniumOreBlock;锗矿石;地形;;26;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;germaniumore;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;1;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;15;1;0;;49;1;锗矿石是锗嵌入玄武岩而形成的混合物。开采后得到锗矿石方块。值得注意的是，有些种类的矿石需要特殊的工具才能开采，否则其中的矿物会被破坏。
CoalBlock;煤方块;地形;;27;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;coalblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;4;4;0;1;3;FALSE;FALSE;2;600;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;999999;50;;FALSE;Quarry;6;1;0;;62;1;点燃后会持续燃烧很久，适合作为熔炉的燃料使用。由9块煤炭合成，也可以分解回9块煤炭。偶尔会出现在煤炭丰富的地方。
StoneChunkBlock;石头;地形;ThrowableBlockBehavior;28;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;stonechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;0;40;40;0;1;3;FALSE;FALSE;0;0;;;;;1;1;1;1;0.66;2;1;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;0;;;;;;1;0;;210;1;熟练使用的话可以成为强大的武器。在自然界中数量大且易于获得，可通过挖掘砾石获取。
CoalChunkBlock;煤;地形;ThrowableBlockBehavior;29;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;coalchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;0;40;40;0;1;3;FALSE;FALSE;2;80;;;;;1;1;1;1;0.66;2;1;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;0;;;;;;1;0;;227;1;可用作熔炉的燃料或合成其他物品（如火药）。能够还原金属矿石，还可用于加深染料的颜色。没有煤矿的情况下，可以煅烧原木获得木炭。
MalachiteChunkBlock;孔雀石;地形;ThrowableBlockBehavior;30;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;malachitechunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;0;40;40;0;1;3;FALSE;FALSE;0;0;;;;;1;1;1;1;0.66;2;1;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;0;;;;;;1;0;;226;1;绿色的碳酸盐块。经熔炼可以得到纯铜。9块孔雀石可以合成一个大的孔雀石块，可用作装饰材料。
SaltpeterChunkBlock;硝石;地形;ThrowableBlockBehavior;31;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;saltpeterchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;0;40;40;0;1;3;FALSE;FALSE;2;0;;;;;1;1;1;1;0.66;2;1;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;0;;;;;;1;0;;208;1;白色的硝酸钾块。含氧量很高，可作为氧化剂合成火药。
SulphurChunkBlock;硫磺;地形;ThrowableBlockBehavior;32;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;sulphurchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;0;40;40;0;1;0.5;FALSE;FALSE;2;10;;;;;1;1;1;1;0.66;2;1;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;0;;;;;;1;0;;224;1;可用于合成染料、火药、火柴等。
DiamondChunkBlock;钻石;地形;ThrowableBlockBehavior;33;0,0,0;0, 0.5, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 0;diamond;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;0;40;40;0;1;1.5;FALSE;FALSE;0;20;;;;;1;1;1;1;0.66;2;1;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;0;;;;;;1;0;;193;1;钻石是碳的一种晶体，稀有度很高，埋藏于地下深处。可用于制作非常耐用的工具。具有可燃性，可作为熔炉的燃料使用。
GermaniumChunkBlock;锗晶体;地形;ThrowableBlockBehavior;34;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;germaniumchunk;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;0;;1;0;40;40;0;1;3;FALSE;FALSE;0;0;;;;;1;1;1;1;0.66;2;1;-1;TRUE;FALSE;FALSE;15;0.9;0.1;FALSE;0;0;;;;;;1;0;;228;1;这是一种电子级的锗晶体。它是一种半导体，可用于制作逻辑门元件。
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OakWoodBlock;橡木;植物;WoodBlockBehavior;36;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;wood;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0.5;1;0.5;FALSE;FALSE;1;20;Wood;Audio\Impacts\Wood;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;20;20;;FALSE;Hack;5;1;0;;;1;橡木长在橡树的枝干上，橡树常见于气候温暖湿润的地区。可以用于合成木块，木块是一种用途广泛的建筑和合成材料。也可以用作熔炉的燃料。你要从树叶里获得树种来种树。
BirchWoodBlock;桦木;植物;WoodBlockBehavior;37;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;wood;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0.5;1;0.5;FALSE;FALSE;1;20;Wood;Audio\Impacts\Wood;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;20;20;;FALSE;Hack;5;1;0;;;1;桦木长在桦树的枝干上，桦树常见于气候温和湿润的地区。可以用于合成木块，木块是一种用途广泛的建筑和合成材料。也可以用作熔炉的燃料。你要从树叶里获得树种来种树。
SpruceWoodBlock;云杉木;植物;WoodBlockBehavior;38;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;wood;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0.5;1;0.5;FALSE;FALSE;1;20;Wood;Audio\Impacts\Wood;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;20;20;;FALSE;Hack;5;1;0;;;1;云杉木长在云杉的枝干上，云杉常见于气候凉爽的地区。可以用于合成木块，木块是一种用途广泛的建筑和合成材料。也可以用作熔炉的燃料。你要从树叶里获得树种来种树。
OakLeavesBlock;橡叶;植物;WoodBlockBehavior;39;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;oakleaves;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;10;2;0;0;#;1;1;40;40;0.5;1;0.5;FALSE;FALSE;1;1;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;8;2;;TRUE;Hack;0;0.5;0;;52;1;橡叶长在橡树上，可以从中获取树种。树叶可以燃烧，是一种廉价燃料。当远离树干时，树叶会腐败。草陷阱可以用这种树叶合成，可以骗过人类和野兽。
